date,open,high,low,close,volume
1652227200000,0.6286,0.6631,0.4727,0.5187,623456066.51
1652313600000,0.5186,0.5508,0.4019,0.4733,815465798.46
1652400000000,0.4733,0.6094,0.4689,0.529,458070252.8
1652486400000,0.5289,0.5572,0.4888,0.5372,253441055.6
1652572800000,0.5374,0.5999,0.5148,0.5981,195264575.4
1652659200000,0.5982,0.6146,0.5444,0.5569,280903516.1
1652745600000,0.5569,0.5999,0.5511,0.5778,178084619.6
1652832000000,0.5776,0.5863,0.5026,0.5059,203077123.9
1652918400000,0.5059,0.5467,0.4917,0.5334,205816006.7
1653004800000,0.5334,0.545,0.5012,0.5162,174293262.6
1653091200000,0.5162,0.5388,0.5086,0.5286,85487336
1653177600000,0.5286,0.5488,0.5219,0.5416,104514258.8
1653264000000,0.5416,0.5595,0.5039,0.5134,189427959.8
1653350400000,0.5133,0.5255,0.4927,0.5219,170905795.6
1653436800000,0.5218,0.5328,0.5071,0.5146,133554250.3
1653523200000,0.5145,0.521,0.4614,0.4789,243664954.1
1653609600000,0.4788,0.4839,0.4454,0.4566,268406015.6
1653696000000,0.4566,0.4693,0.4481,0.4646,105935970.4
1653782400000,0.4646,0.4827,0.4559,0.482,88626528.9
1653868800000,0.4819,0.5777,0.4772,0.5698,259278313.4
1653955200000,0.5698,0.6893,0.5678,0.6268,663619489.7
1654041600000,0.6266,0.6314,0.5359,0.5516,355477399.6
1654128000000,0.5517,0.5981,0.5487,0.5871,306125734.2
1654214400000,0.5872,0.6055,0.539,0.56,206257910.9
1654300800000,0.56,0.5718,0.5449,0.5665,108779268.9
1654387200000,0.5666,0.5808,0.5538,0.5674,95277593.6
1654473600000,0.5675,0.6472,0.5651,0.6091,341502376.8
1654560000000,0.6091,0.645,0.5715,0.6141,338812294.7
1654646400000,0.614,0.6696,0.6087,0.6408,394267374.7
1654732800000,0.6407,0.6579,0.6258,0.6323,192310885.5
1654819200000,0.6323,0.6361,0.57,0.5744,272263844.1
1654905600000,0.5744,0.6175,0.543,0.554,300758115.7
1654992000000,0.5541,0.561,0.4893,0.4904,397530507.9
1655078400000,0.4904,0.4985,0.4366,0.4644,761583537.4
1655164800000,0.4642,0.52,0.4369,0.4831,609069303.4
1655251200000,0.4831,0.5393,0.4483,0.5348,628287744
1655337600000,0.5347,0.5472,0.4673,0.4762,360176076.1
1655424000000,0.4762,0.504,0.4717,0.4872,221261441.4
1655510400000,0.4871,0.4953,0.4206,0.4549,383466178.7
1655596800000,0.4548,0.49,0.4359,0.4848,304390171.7
1655683200000,0.4849,0.5088,0.4613,0.4915,309797825.1
1655769600000,0.4915,0.5114,0.4751,0.4813,269304587
1655856000000,0.4813,0.4815,0.4559,0.4594,203592970.7
1655942400000,0.4594,0.4831,0.4563,0.48,160787911.2
1656028800000,0.48,0.5097,0.4762,0.4981,241562561.8
1656115200000,0.4982,0.5078,0.4783,0.4984,142417111.7
1656201600000,0.4985,0.526,0.4885,0.4899,211856675.9
1656288000000,0.4899,0.5088,0.4756,0.4856,157303921.4
